City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Northeast Ajax,Detached,132,0.77,53574.0,1135068.0,Northeast_Ajax_Detached_Matrix.csv
1035 - OM Old Milton,Detached,71,0.77,103032.0,1054289.0,1035_-_OM_Old_Milton_Detached_Matrix.csv
Royal Orchard,Detached,68,0.77,91047.0,1561536.0,Royal_Orchard_Detached_Matrix.csv
Hillcrest Village,Detached,49,0.77,113142.0,1409699.0,Hillcrest_Village_Detached_Matrix.csv
Greensborough,Townhouse,92,0.77,79625.0,910021.0,Greensborough_Townhouse_Matrix.csv
Rose,Detached,99,0.77,123255.0,1688198.0,Rose_Detached_Matrix.csv
Willowdale West,Detached,82,0.77,247504.0,1888528.0,Willowdale_West_Detached_Matrix.csv
1007 - GA Glen Abbey,Condo Apartment,65,0.77,32649.0,598238.0,1007_-_GA_Glen_Abbey_Condo_Apartment_Matrix.csv
1029 - DE Dempsey,Townhouse,45,0.77,25023.0,806787.0,1029_-_DE_Dempsey_Townhouse_Matrix.csv
Edenbridge-Humber Valley,Condo Apartment,68,0.77,79072.0,698824.0,Edenbridge-Humber_Valley_Condo_Apartment_Matrix.csv
Creditview,Detached,82,0.76,84001.0,1175705.0,Creditview_Detached_Matrix.csv
Patterson,Detached,382,0.76,148799.0,1827666.0,Patterson_Detached_Matrix.csv
Dovercourt-Wallace Emerson-Junction,Condo Apartment,92,0.76,38148.0,608773.0,Dovercourt-Wallace_Emerson-Junction_Condo_Apartment_Matrix.csv
South K,Detached,138,0.76,74836.0,876605.0,South_K_Detached_Matrix.csv
Crestwood-Springfarm-Yorkhill,Detached,104,0.76,149320.0,1579325.0,Crestwood-Springfarm-Yorkhill_Detached_Matrix.csv
Chaffey,Condo Apartment,50,0.76,58206.0,452446.0,Chaffey_Condo_Apartment_Matrix.csv
South Riverdale,Condo Apartment,204,0.76,77711.0,734743.0,South_Riverdale_Condo_Apartment_Matrix.csv
541 - Grimsby West,Detached,82,0.76,110872.0,933367.0,541_-_Grimsby_West_Detached_Matrix.csv
