City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Rural Vaughan,Detached,48,0.47,378718.0,2241600.0,Rural_Vaughan_Detached_Matrix.csv
Vales of Castlemore,Detached,99,0.47,154983.0,1335370.0,Vales_of_Castlemore_Detached_Matrix.csv
New Liskeard,Detached,99,0.47,64151.0,389294.0,New_Liskeard_Detached_Matrix.csv
Bayview Northeast,Detached,55,0.47,114145.0,1509988.0,Bayview_Northeast_Detached_Matrix.csv
Queensville,Detached,81,0.47,82995.0,1299718.0,Queensville_Detached_Matrix.csv
Pinecrest,Detached,178,0.47,71841.0,895000.0,Pinecrest_Detached_Matrix.csv
Mount Pleasant East,Condo Apartment,39,0.47,123937.0,697087.0,Mount_Pleasant_East_Condo_Apartment_Matrix.csv
7706 - Barrhaven - Longfields,Detached,97,0.47,46343.0,791251.0,7706_-_Barrhaven_-_Longfields_Detached_Matrix.csv
Alliston,Detached,237,0.47,76038.0,838501.0,Alliston_Detached_Matrix.csv
Downsview-Roding-CFB,Detached,143,0.47,86532.0,1101319.0,Downsview-Roding-CFB_Detached_Matrix.csv
Brampton East,Detached,131,0.47,84582.0,902543.0,Brampton_East_Detached_Matrix.csv
Snelgrove,Detached,138,0.47,108466.0,1161996.0,Snelgrove_Detached_Matrix.csv
High Park-Swansea,Condo Apartment,191,0.47,106836.0,702121.0,High_Park-Swansea_Condo_Apartment_Matrix.csv
Etobicoke West Mall,Condo Apartment,91,0.47,36422.0,524982.0,Etobicoke_West_Mall_Condo_Apartment_Matrix.csv
878 - Sugarloaf,Detached,126,0.47,69409.0,576419.0,878_-_Sugarloaf_Detached_Matrix.csv
9004 - Kanata - Bridlewood,Townhouse,78,0.47,47968.0,624393.0,9004_-_Kanata_-_Bridlewood_Townhouse_Matrix.csv
Bram West,Detached,125,0.47,135332.0,1309594.0,Bram_West_Detached_Matrix.csv
Gorham-College Manor,Detached,106,0.47,109965.0,1069368.0,Gorham-College_Manor_Detached_Matrix.csv
Northwest Brampton,Townhouse,408,0.47,49564.0,808798.0,Northwest_Brampton_Townhouse_Matrix.csv
7711 - Barrhaven - Half Moon Bay,Detached,184,0.47,52451.0,836315.0,7711_-_Barrhaven_-_Half_Moon_Bay_Detached_Matrix.csv
Rathwood,Townhouse,80,0.47,39067.0,811054.0,Rathwood_Townhouse_Matrix.csv
Brant Hills,Detached,112,0.47,102497.0,1109338.0,Brant_Hills_Detached_Matrix.csv
Sidney Ward,Detached,200,0.47,82166.0,620092.0,Sidney_Ward_Detached_Matrix.csv
Parkwoods-Donalda,Detached,102,0.47,143773.0,1480358.0,Parkwoods-Donalda_Detached_Matrix.csv
The Beaches,Detached,164,0.47,426225.0,2336397.0,The_Beaches_Detached_Matrix.csv
Trent Lakes,Detached,161,0.46,214206.0,841106.0,Trent_Lakes_Detached_Matrix.csv
Cobourg,Detached,386,0.46,87112.0,743602.0,Cobourg_Detached_Matrix.csv
Sandringham-Wellington,Townhouse,215,0.46,55333.0,778860.0,Sandringham-Wellington_Townhouse_Matrix.csv
Collingwood,Detached,427,0.46,165474.0,919875.0,Collingwood_Detached_Matrix.csv
King City,Detached,99,0.46,419159.0,2748062.0,King_City_Detached_Matrix.csv
Appleby,Townhouse,97,0.46,61087.0,825381.0,Appleby_Townhouse_Matrix.csv
Don Valley Village,Condo Apartment,130,0.46,107868.0,621318.0,Don_Valley_Village_Condo_Apartment_Matrix.csv
South Riverdale,Townhouse,125,0.46,172706.0,1128941.0,South_Riverdale_Townhouse_Matrix.csv
Henry Farm,Condo Apartment,290,0.46,51088.0,554903.0,Henry_Farm_Condo_Apartment_Matrix.csv
Englemount-Lawrence,Condo Apartment,72,0.46,66655.0,562415.0,Englemount-Lawrence_Condo_Apartment_Matrix.csv
2012 - Chapel Hill South - Orleans Village,Detached,86,0.46,57084.0,854049.0,2012_-_Chapel_Hill_South_-_Orleans_Village_Detached_Matrix.csv
Lakeshore,Townhouse,42,0.46,96021.0,716060.0,Lakeshore_Townhouse_Matrix.csv
Summerhill Estates,Townhouse,60,0.46,48507.0,892183.0,Summerhill_Estates_Townhouse_Matrix.csv
Meadowvale,Condo Apartment,59,0.46,33509.0,486429.0,Meadowvale_Condo_Apartment_Matrix.csv
Jefferson,Townhouse,103,0.46,101256.0,1079203.0,Jefferson_Townhouse_Matrix.csv
Taunton,Detached,213,0.45,100445.0,1044502.0,Taunton_Detached_Matrix.csv
Junction Area,Townhouse,42,0.45,137228.0,1075057.0,Junction_Area_Townhouse_Matrix.csv
Ancaster,Detached,293,0.45,200777.0,1327112.0,Ancaster_Detached_Matrix.csv
South Bruce Peninsula,Detached,241,0.45,112934.0,594123.0,South_Bruce_Peninsula_Detached_Matrix.csv
Fletcher's West,Detached,105,0.45,64410.0,974460.0,Fletcher's_West_Detached_Matrix.csv
South East,Townhouse,96,0.45,54418.0,764324.0,South_East_Townhouse_Matrix.csv
Unionville,Detached,180,0.45,204235.0,1827609.0,Unionville_Detached_Matrix.csv
Downsview-Roding-CFB,Condo Apartment,100,0.45,41857.0,514352.0,Downsview-Roding-CFB_Condo_Apartment_Matrix.csv
1002 - CO Central,Condo Apartment,48,0.45,177410.0,717591.0,1002_-_CO_Central_Condo_Apartment_Matrix.csv
Brownridge,Condo Apartment,86,0.45,77157.0,728890.0,Brownridge_Condo_Apartment_Matrix.csv
1026 - CB Cobban,Townhouse,68,0.45,47450.0,871565.0,1026_-_CB_Cobban_Townhouse_Matrix.csv
717 - Cornwall,Detached,624,0.45,71009.0,429281.0,717_-_Cornwall_Detached_Matrix.csv
Appleby,Detached,208,0.44,130193.0,1171607.0,Appleby_Detached_Matrix.csv
Town Centre,Condo Apartment,110,0.44,63699.0,600972.0,Town_Centre_Condo_Apartment_Matrix.csv
605 - The Nation Municipality,Detached,116,0.44,81056.0,510148.0,605_-_The_Nation_Municipality_Detached_Matrix.csv
1007 - GA Glen Abbey,Detached,186,0.44,205049.0,1822840.0,1007_-_GA_Glen_Abbey_Detached_Matrix.csv
Samac,Townhouse,103,0.44,60178.0,664366.0,Samac_Townhouse_Matrix.csv
Aileen-Willowbrook,Townhouse,60,0.44,57556.0,779399.0,Aileen-Willowbrook_Townhouse_Matrix.csv
Letitia Heights,Detached,81,0.44,63089.0,710670.0,Letitia_Heights_Detached_Matrix.csv
Westminster-Branson,Townhouse,42,0.44,57951.0,766179.0,Westminster-Branson_Townhouse_Matrix.csv
Patterson,Townhouse,189,0.44,94052.0,1212754.0,Patterson_Townhouse_Matrix.csv
Port Hope,Detached,225,0.44,78184.0,713916.0,Port_Hope_Detached_Matrix.csv
Headon,Detached,136,0.44,113661.0,1264510.0,Headon_Detached_Matrix.csv
Stayner,Detached,99,0.44,101415.0,654641.0,Stayner_Detached_Matrix.csv
Midland,Detached,328,0.44,80458.0,571949.0,Midland_Detached_Matrix.csv
3602 - Riverview Park,Detached,39,0.44,47298.0,752364.0,3602_-_Riverview_Park_Detached_Matrix.csv
1028 - CO Coates,Detached,70,0.43,68300.0,1235626.0,1028_-_CO_Coates_Detached_Matrix.csv
3404 - Vanier,Condo Apartment,69,0.43,14056.0,298942.0,3404_-_Vanier_Condo_Apartment_Matrix.csv
Meadowvale Village,Detached,82,0.43,145467.0,1440693.0,Meadowvale_Village_Detached_Matrix.csv
Stonehaven-Wyndham,Detached,100,0.43,122390.0,1645662.0,Stonehaven-Wyndham_Detached_Matrix.csv
Unionville,Townhouse,74,0.43,122788.0,1156671.0,Unionville_Townhouse_Matrix.csv
Uptown,Condo Apartment,60,0.43,46199.0,545306.0,Uptown_Condo_Apartment_Matrix.csv
Bolton East,Detached,92,0.43,168342.0,1199953.0,Bolton_East_Detached_Matrix.csv
Westminster-Branson,Condo Apartment,97,0.43,46982.0,604409.0,Westminster-Branson_Condo_Apartment_Matrix.csv
13 - Kingston East (Incl Barret Crt),Townhouse,42,0.43,45603.0,558794.0,13_-_Kingston_East_(Incl_Barret_Crt)_Townhouse_Matrix.csv
Donevan,Detached,219,0.43,63270.0,738817.0,Donevan_Detached_Matrix.csv
9007 - Kanata - Kanata Lakes/Heritage Hills,Detached,102,0.43,115598.0,1074030.0,9007_-_Kanata_-_Kanata_Lakes_Heritage_Hills_Detached_Matrix.csv
28 - City SouthWest,Detached,155,0.43,74849.0,661076.0,28_-_City_SouthWest_Detached_Matrix.csv
Kingsway South,Detached,122,0.43,539985.0,2629060.0,Kingsway_South_Detached_Matrix.csv
3806 - Hunt Club Park/Greenboro,Townhouse,94,0.43,64375.0,543350.0,3806_-_Hunt_Club_Park_Greenboro_Townhouse_Matrix.csv
1001 - BR Bronte,Condo Apartment,101,0.42,243692.0,1081666.0,1001_-_BR_Bronte_Condo_Apartment_Matrix.csv
Langstaff,Condo Apartment,260,0.42,50263.0,573576.0,Langstaff_Condo_Apartment_Matrix.csv
Doncrest,Condo Apartment,69,0.42,65348.0,598695.0,Doncrest_Condo_Apartment_Matrix.csv
Rural Pickering,Townhouse,127,0.42,55450.0,849217.0,Rural_Pickering_Townhouse_Matrix.csv
East D,Detached,124,0.42,41543.0,578009.0,East_D_Detached_Matrix.csv
910 - Beckwith Twp,Detached,145,0.42,142104.0,838676.0,910_-_Beckwith_Twp_Detached_Matrix.csv
Roseland,Townhouse,41,0.42,99606.0,741432.0,Roseland_Townhouse_Matrix.csv
Little Portugal,Condo Apartment,156,0.42,73587.0,598922.0,Little_Portugal_Condo_Apartment_Matrix.csv
530 - Pembroke,Detached,250,0.42,46650.0,356246.0,530_-_Pembroke_Detached_Matrix.csv
Alcona,Townhouse,60,0.42,50450.0,662274.0,Alcona_Townhouse_Matrix.csv
Briar Hill-Belgravia,Condo Apartment,49,0.42,53858.0,598098.0,Briar_Hill-Belgravia_Condo_Apartment_Matrix.csv
9002 - Kanata - Katimavik,Detached,60,0.41,50052.0,763759.0,9002_-_Kanata_-_Katimavik_Detached_Matrix.csv
Eringate-Centennial-West Deane,Detached,117,0.41,101705.0,1252787.0,Eringate-Centennial-West_Deane_Detached_Matrix.csv
North Richvale,Condo Apartment,88,0.41,52053.0,651423.0,North_Richvale_Condo_Apartment_Matrix.csv
Pineridge/Westminster Woods,Detached,111,0.41,81435.0,1034882.0,Pineridge_Westminster_Woods_Detached_Matrix.csv
Malton,Detached,86,0.41,91672.0,948608.0,Malton_Detached_Matrix.csv
O'Neill,Detached,197,0.41,63464.0,696640.0,O'Neill_Detached_Matrix.csv
057 - Smithville,Detached,70,0.41,123286.0,814571.0,057_-_Smithville_Detached_Matrix.csv
Blue Mountains,Detached,230,0.41,418277.0,1516542.0,Blue_Mountains_Detached_Matrix.csv
Runnymede-Bloor West Village,Detached,107,0.41,208631.0,1619178.0,Runnymede-Bloor_West_Village_Detached_Matrix.csv
Clanton Park,Condo Apartment,193,0.41,29785.0,536333.0,Clanton_Park_Condo_Apartment_Matrix.csv
Rockcliffe-Smythe,Detached,110,0.41,103995.0,916393.0,Rockcliffe-Smythe_Detached_Matrix.csv
Windfields,Townhouse,145,0.41,60650.0,688227.0,Windfields_Townhouse_Matrix.csv
Bayview Village,Townhouse,52,0.41,83467.0,879150.0,Bayview_Village_Townhouse_Matrix.csv
Erindale,Townhouse,44,0.41,100640.0,696659.0,Erindale_Townhouse_Matrix.csv
Rural Innisfil,Condo Apartment,59,0.41,51119.0,477803.0,Rural_Innisfil_Condo_Apartment_Matrix.csv
Mississauga Valleys,Condo Apartment,112,0.41,37877.0,514756.0,Mississauga_Valleys_Condo_Apartment_Matrix.csv
Agincourt North,Condo Apartment,68,0.41,36464.0,486395.0,Agincourt_North_Condo_Apartment_Matrix.csv
540 - Renfrew,Detached,145,0.4,65950.0,406648.0,540_-_Renfrew_Detached_Matrix.csv
Rural Tiny,Detached,289,0.4,204650.0,861721.0,Rural_Tiny_Detached_Matrix.csv
South U,Townhouse,73,0.4,38960.0,556934.0,South_U_Townhouse_Matrix.csv
South W,Detached,73,0.4,42226.0,764727.0,South_W_Detached_Matrix.csv
Brantford Twp,Detached,88,0.4,147004.0,822628.0,Brantford_Twp_Detached_Matrix.csv
Huron-Kinloss,Detached,97,0.4,100174.0,745490.0,Huron-Kinloss_Detached_Matrix.csv
East G,Condo Apartment,43,0.4,19203.0,183549.0,East_G_Condo_Apartment_Matrix.csv
South West,Detached,77,0.4,89133.0,937940.0,South_West_Detached_Matrix.csv
Rouge E10,Detached,102,0.4,100152.0,1169835.0,Rouge_E10_Detached_Matrix.csv
1105 - Fallingbrook/Pineridge,Townhouse,63,0.4,30434.0,451608.0,1105_-_Fallingbrook_Pineridge_Townhouse_Matrix.csv
Oak Ridges,Townhouse,100,0.4,73503.0,1026799.0,Oak_Ridges_Townhouse_Matrix.csv
Bathurst Manor,Detached,94,0.4,170918.0,1461399.0,Bathurst_Manor_Detached_Matrix.csv
Kincardine,Detached,198,0.4,117794.0,621450.0,Kincardine_Detached_Matrix.csv
Woodland Hill,Detached,91,0.4,49285.0,1221646.0,Woodland_Hill_Detached_Matrix.csv
Goderich (Town),Detached,128,0.4,78345.0,577323.0,Goderich_(Town)_Detached_Matrix.csv
Lakeshore,Condo Apartment,85,0.4,99659.0,576038.0,Lakeshore_Condo_Apartment_Matrix.csv
810 - Brockville,Townhouse,54,0.4,68655.0,453193.0,810_-_Brockville_Townhouse_Matrix.csv
York University Heights,Condo Apartment,111,0.39,52623.0,531617.0,York_University_Heights_Condo_Apartment_Matrix.csv
769 - Prince Charles,Detached,176,0.39,70040.0,595446.0,769_-_Prince_Charles_Detached_Matrix.csv
Kapuskasing,Detached,108,0.39,35413.0,243636.0,Kapuskasing_Detached_Matrix.csv
Willowridge-Martingrove-Richview,Detached,163,0.39,194921.0,1292964.0,Willowridge-Martingrove-Richview_Detached_Matrix.csv
8202 - Stittsville (Central),Detached,124,0.39,100868.0,938260.0,8202_-_Stittsville_(Central)_Detached_Matrix.csv
606 - Town of Rockland,Townhouse,75,0.39,26578.0,511004.0,606_-_Town_of_Rockland_Townhouse_Matrix.csv
Alton,Detached,102,0.39,122483.0,1408460.0,Alton_Detached_Matrix.csv
Rolling Acres,Detached,183,0.39,97980.0,1073071.0,Rolling_Acres_Detached_Matrix.csv
Uptown,Townhouse,47,0.39,77455.0,867743.0,Uptown_Townhouse_Matrix.csv
Homeside,Detached,141,0.39,55817.0,479457.0,Homeside_Detached_Matrix.csv
Ferris,Detached,156,0.39,63348.0,465286.0,Ferris_Detached_Matrix.csv
Rural Ramara,Detached,127,0.39,100390.0,730659.0,Rural_Ramara_Detached_Matrix.csv
8203 - Stittsville (South),Detached,161,0.39,87029.0,947372.0,8203_-_Stittsville_(South)_Detached_Matrix.csv
1028 - CO Coates,Townhouse,62,0.39,49416.0,858785.0,1028_-_CO_Coates_Townhouse_Matrix.csv
Moss Park,Townhouse,47,0.39,194346.0,1046764.0,Moss_Park_Townhouse_Matrix.csv
4003 - Sandy Hill,Condo Apartment,114,0.39,54868.0,412015.0,4003_-_Sandy_Hill_Condo_Apartment_Matrix.csv
2602 - Riverside South/Gloucester Glen,Detached,123,0.38,69990.0,970628.0,2602_-_Riverside_South_Gloucester_Glen_Detached_Matrix.csv
Sharon,Detached,93,0.38,180165.0,1454138.0,Sharon_Detached_Matrix.csv
Bendale,Condo Apartment,139,0.38,46918.0,518696.0,Bendale_Condo_Apartment_Matrix.csv
Doncrest,Detached,63,0.38,165232.0,1938928.0,Doncrest_Detached_Matrix.csv
Stoney Creek Mountain,Townhouse,151,0.38,48595.0,689986.0,Stoney_Creek_Mountain_Townhouse_Matrix.csv
Lucan,Detached,78,0.38,72032.0,676891.0,Lucan_Detached_Matrix.csv
Agincourt South-Malvern West,Condo Apartment,204,0.37,47162.0,518654.0,Agincourt_South-Malvern_West_Condo_Apartment_Matrix.csv
Clairlea-Birchmount,Detached,137,0.37,152919.0,1024382.0,Clairlea-Birchmount_Detached_Matrix.csv
Binbrook,Townhouse,83,0.37,44549.0,653841.0,Binbrook_Townhouse_Matrix.csv
Dorset Park,Condo Apartment,100,0.37,38188.0,466222.0,Dorset_Park_Condo_Apartment_Matrix.csv
West Hill,Detached,125,0.37,105137.0,963299.0,West_Hill_Detached_Matrix.csv
Grey Highlands,Detached,200,0.37,247304.0,832740.0,Grey_Highlands_Detached_Matrix.csv
453 - Grapeview,Detached,63,0.37,108222.0,839913.0,453_-_Grapeview_Detached_Matrix.csv
Thurlow Ward,Detached,184,0.37,101984.0,678046.0,Thurlow_Ward_Detached_Matrix.csv
542 - Grimsby East,Detached,103,0.37,81621.0,965705.0,542_-_Grimsby_East_Detached_Matrix.csv
Waterdown,Detached,246,0.36,146674.0,1250296.0,Waterdown_Detached_Matrix.csv
Paris,Detached,180,0.36,94816.0,862327.0,Paris_Detached_Matrix.csv
723 - South Glengarry (Charlottenburgh) Twp,Detached,120,0.35,158062.0,588785.0,723_-_South_Glengarry_(Charlottenburgh)_Twp_Detached_Matrix.csv
Brownridge,Detached,109,0.35,104936.0,1356589.0,Brownridge_Detached_Matrix.csv
662 - Fonthill,Townhouse,50,0.35,96344.0,757988.0,662_-_Fonthill_Townhouse_Matrix.csv
Liverpool,Townhouse,42,0.34,60891.0,669983.0,Liverpool_Townhouse_Matrix.csv
Uxbridge,Townhouse,48,0.34,94224.0,881529.0,Uxbridge_Townhouse_Matrix.csv
4102 - Ottawa Centre,Condo Apartment,241,0.34,61205.0,434764.0,4102_-_Ottawa_Centre_Condo_Apartment_Matrix.csv
Exeter,Detached,92,0.34,102449.0,536936.0,Exeter_Detached_Matrix.csv
Downtown Whitby,Detached,124,0.34,79751.0,849889.0,Downtown_Whitby_Detached_Matrix.csv
Harding,Condo Apartment,58,0.34,69964.0,631281.0,Harding_Condo_Apartment_Matrix.csv
Wasaga Beach,Townhouse,142,0.34,49424.0,563154.0,Wasaga_Beach_Townhouse_Matrix.csv
442 - Vine/Linwell,Detached,161,0.34,56155.0,657160.0,442_-_Vine_Linwell_Detached_Matrix.csv
1019 - WM Westmount,Condo Apartment,63,0.34,41292.0,510501.0,1019_-_WM_Westmount_Condo_Apartment_Matrix.csv
Bridle Path-Sunnybrook-York Mills,Detached,67,0.34,1655160.0,5192323.0,Bridle_Path-Sunnybrook-York_Mills_Detached_Matrix.csv
Alderwood,Detached,124,0.33,149075.0,1267350.0,Alderwood_Detached_Matrix.csv
Greenwood-Coxwell,Detached,65,0.33,164254.0,1397713.0,Greenwood-Coxwell_Detached_Matrix.csv
West Woodbridge,Condo Apartment,62,0.33,103101.0,742029.0,West_Woodbridge_Condo_Apartment_Matrix.csv
Belleville Ward,Townhouse,104,0.33,72629.0,447820.0,Belleville_Ward_Townhouse_Matrix.csv
Bristol-London,Detached,94,0.33,113332.0,1100809.0,Bristol-London_Detached_Matrix.csv
L'Amoreaux,Townhouse,81,0.33,59990.0,757815.0,L'Amoreaux_Townhouse_Matrix.csv
Sturgeon Falls,Detached,134,0.33,92149.0,446360.0,Sturgeon_Falls_Detached_Matrix.csv
Bendale,Detached,174,0.33,80672.0,980930.0,Bendale_Detached_Matrix.csv
Brooklin,Townhouse,88,0.33,35181.0,809261.0,Brooklin_Townhouse_Matrix.csv
Hurontario,Detached,192,0.33,93438.0,1264860.0,Hurontario_Detached_Matrix.csv
North B,Detached,106,0.33,75476.0,894224.0,North_B_Detached_Matrix.csv
337 - Crystal Beach,Detached,120,0.33,90772.0,538218.0,337_-_Crystal_Beach_Detached_Matrix.csv
35 - East Gardiners Rd,Detached,75,0.33,60747.0,663487.0,35_-_East_Gardiners_Rd_Detached_Matrix.csv
Rouge E11,Detached,108,0.33,95963.0,1188579.0,Rouge_E11_Detached_Matrix.csv
1027 - CL Clarke,Townhouse,118,0.32,45822.0,867377.0,1027_-_CL_Clarke_Townhouse_Matrix.csv
Cavan Twp,Detached,127,0.32,151710.0,953344.0,Cavan_Twp_Detached_Matrix.csv
9007 - Kanata - Kanata Lakes/Heritage Hills,Townhouse,121,0.32,63308.0,693865.0,9007_-_Kanata_-_Kanata_Lakes_Heritage_Hills_Townhouse_Matrix.csv
West Hill,Condo Apartment,43,0.32,28755.0,427762.0,West_Hill_Condo_Apartment_Matrix.csv
Dovercourt-Wallace Emerson-Junction,Detached,94,0.32,307114.0,1549551.0,Dovercourt-Wallace_Emerson-Junction_Detached_Matrix.csv
North I,Townhouse,46,0.32,50190.0,499241.0,North_I_Townhouse_Matrix.csv
Muskoka (S),Detached,185,0.32,274234.0,780974.0,Muskoka_(S)_Detached_Matrix.csv
East H,Detached,130,0.31,48969.0,495098.0,East_H_Detached_Matrix.csv
Vellore Village,Townhouse,186,0.31,64032.0,1082960.0,Vellore_Village_Townhouse_Matrix.csv
Mountainside,Detached,95,0.31,83837.0,942722.0,Mountainside_Detached_Matrix.csv
East A,Detached,97,0.31,76411.0,619508.0,East_A_Detached_Matrix.csv
1001 - BR Bronte,Detached,165,0.31,246724.0,1655625.0,1001_-_BR_Bronte_Detached_Matrix.csv
North C,Townhouse,49,0.31,35608.0,508012.0,North_C_Townhouse_Matrix.csv
Fergus,Condo Apartment,48,0.31,71827.0,523579.0,Fergus_Condo_Apartment_Matrix.csv
211 - Cherrywood,Detached,100,0.31,60311.0,482986.0,211_-_Cherrywood_Detached_Matrix.csv
Sutton & Jackson's Point,Detached,160,0.31,117757.0,810236.0,Sutton_&_Jackson's_Point_Detached_Matrix.csv
Eastdale,Townhouse,43,0.31,50443.0,647144.0,Eastdale_Townhouse_Matrix.csv
Emily,Detached,102,0.31,141150.0,705184.0,Emily_Detached_Matrix.csv
3402 - Vanier,Condo Apartment,62,0.31,80831.0,498132.0,3402_-_Vanier_Condo_Apartment_Matrix.csv
Rural Glanbrook,Detached,110,0.31,158130.0,1071607.0,Rural_Glanbrook_Detached_Matrix.csv
37 - South of Taylor-Kidd Blvd,Detached,133,0.31,55284.0,603339.0,37_-_South_of_Taylor-Kidd_Blvd_Detached_Matrix.csv
1008 - GO Glenorchy,Townhouse,185,0.3,89622.0,1076132.0,1008_-_GO_Glenorchy_Townhouse_Matrix.csv
Mississauga Valleys,Detached,39,0.3,77240.0,1167896.0,Mississauga_Valleys_Detached_Matrix.csv
Ainslie Wood,Detached,72,0.3,45395.0,731077.0,Ainslie_Wood_Detached_Matrix.csv
Stoney Creek,Townhouse,137,0.3,59937.0,651595.0,Stoney_Creek_Townhouse_Matrix.csv
Creditview,Condo Apartment,42,0.3,34828.0,578128.0,Creditview_Condo_Apartment_Matrix.csv
Sarnia,Detached,100,0.3,79048.0,491952.0,Sarnia_Detached_Matrix.csv
Wismer,Townhouse,76,0.3,79973.0,1137895.0,Wismer_Townhouse_Matrix.csv
540 - Grimsby Beach,Detached,104,0.29,149383.0,874515.0,540_-_Grimsby_Beach_Detached_Matrix.csv
Briar Hill-Belgravia,Detached,62,0.29,176403.0,1023214.0,Briar_Hill-Belgravia_Detached_Matrix.csv
Oak Ridges Lake Wilcox,Detached,118,0.29,356088.0,1697962.0,Oak_Ridges_Lake_Wilcox_Detached_Matrix.csv
East Credit,Townhouse,116,0.29,57336.0,839376.0,East_Credit_Townhouse_Matrix.csv
219 - Forestview,Detached,81,0.29,99201.0,890947.0,219_-_Forestview_Detached_Matrix.csv
Blue Grass Meadows,Detached,179,0.29,88648.0,957034.0,Blue_Grass_Meadows_Detached_Matrix.csv
334 - Crescent Park,Detached,130,0.29,153169.0,607734.0,334_-_Crescent_Park_Detached_Matrix.csv
Widdifield,Detached,91,0.28,50538.0,468329.0,Widdifield_Detached_Matrix.csv
616 - Limoges,Detached,64,0.28,66839.0,632734.0,616_-_Limoges_Detached_Matrix.csv
7703 - Barrhaven - Cedargrove/Fraserdale,Townhouse,76,0.28,32698.0,567783.0,7703_-_Barrhaven_-_Cedargrove_Fraserdale_Townhouse_Matrix.csv
Blue Grass Meadows,Townhouse,43,0.28,39026.0,750547.0,Blue_Grass_Meadows_Townhouse_Matrix.csv
Bradford,Townhouse,104,0.28,65716.0,782495.0,Bradford_Townhouse_Matrix.csv
Bayview Village,Detached,74,0.28,455404.0,2411700.0,Bayview_Village_Detached_Matrix.csv
Morningside,Townhouse,48,0.28,68285.0,640583.0,Morningside_Townhouse_Matrix.csv
Trinity-Bellwoods,Townhouse,65,0.28,222229.0,1344997.0,Trinity-Bellwoods_Townhouse_Matrix.csv
Macaulay,Townhouse,41,0.28,53477.0,552537.0,Macaulay_Townhouse_Matrix.csv
541 - Grimsby West,Townhouse,48,0.27,46835.0,634954.0,541_-_Grimsby_West_Townhouse_Matrix.csv
South T,Detached,65,0.27,36097.0,567318.0,South_T_Detached_Matrix.csv
Meaford,Detached,197,0.27,232475.0,830981.0,Meaford_Detached_Matrix.csv
East C,Detached,131,0.27,47593.0,479034.0,East_C_Detached_Matrix.csv
Centennial,Detached,140,0.27,72495.0,798036.0,Centennial_Detached_Matrix.csv
Innis-Shore,Townhouse,59,0.27,57844.0,648841.0,Innis-Shore_Townhouse_Matrix.csv
Rural Aurora,Townhouse,49,0.27,92755.0,1027493.0,Rural_Aurora_Townhouse_Matrix.csv
562 - Hurricane/Merrittville,Detached,68,0.27,121199.0,773587.0,562_-_Hurricane_Merrittville_Detached_Matrix.csv
1009 - JC Joshua Creek,Detached,71,0.26,229181.0,2181877.0,1009_-_JC_Joshua_Creek_Detached_Matrix.csv
Medora,Detached,110,0.26,1431442.0,2624532.0,Medora_Detached_Matrix.csv
Fairview,Detached,49,0.26,83792.0,1316922.0,Fairview_Detached_Matrix.csv
Newcastle,Condo Apartment,55,0.26,61213.0,550373.0,Newcastle_Condo_Apartment_Matrix.csv
Wexford-Maryvale,Detached,216,0.26,91544.0,1031653.0,Wexford-Maryvale_Detached_Matrix.csv
Courtice,Townhouse,126,0.26,50539.0,679821.0,Courtice_Townhouse_Matrix.csv
1003 - CP College Park,Townhouse,44,0.26,70171.0,781343.0,1003_-_CP_College_Park_Townhouse_Matrix.csv
Steeles,Condo Apartment,89,0.25,62397.0,565674.0,Steeles_Condo_Apartment_Matrix.csv
Cobourg,Condo Apartment,49,0.25,117417.0,527131.0,Cobourg_Condo_Apartment_Matrix.csv
Lindsay,Townhouse,57,0.25,55259.0,558281.0,Lindsay_Townhouse_Matrix.csv
Rural Clarington,Detached,142,0.25,196594.0,1163012.0,Rural_Clarington_Detached_Matrix.csv
Woburn,Detached,241,0.25,78575.0,954338.0,Woburn_Detached_Matrix.csv
907 - Perth,Detached,96,0.25,106835.0,543466.0,907_-_Perth_Detached_Matrix.csv
610 - Alfred and Plantagenet Twp,Detached,123,0.25,104221.0,574765.0,610_-_Alfred_and_Plantagenet_Twp_Detached_Matrix.csv
Milliken,Condo Apartment,62,0.25,45070.0,529790.0,Milliken_Condo_Apartment_Matrix.csv
Parry Sound,Detached,92,0.24,96569.0,483921.0,Parry_Sound_Detached_Matrix.csv
Cooksville,Condo Apartment,133,0.24,53918.0,503811.0,Cooksville_Condo_Apartment_Matrix.csv
North M,Townhouse,49,0.24,32457.0,544518.0,North_M_Townhouse_Matrix.csv
Ardagh,Condo Apartment,74,0.24,50810.0,494843.0,Ardagh_Condo_Apartment_Matrix.csv
Bram West,Townhouse,99,0.24,67846.0,856958.0,Bram_West_Townhouse_Matrix.csv
South D,Detached,78,0.24,42902.0,573891.0,South_D_Detached_Matrix.csv
9008 - Kanata - Morgan's Grant/South March,Detached,98,0.24,72331.0,865289.0,9008_-_Kanata_-_Morgan's_Grant_South_March_Detached_Matrix.csv
Don Valley Village,Detached,78,0.23,154075.0,1364565.0,Don_Valley_Village_Detached_Matrix.csv
47 - Frontenac South,Detached,337,0.23,153521.0,683869.0,47_-_Frontenac_South_Detached_Matrix.csv
Brighton,Detached,196,0.23,101080.0,645719.0,Brighton_Detached_Matrix.csv
Trenton Ward,Detached,289,0.23,56993.0,448619.0,Trenton_Ward_Detached_Matrix.csv
